fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
3,Species,4,0.009688421045033414,0.024456179285493023,0.03414460033052644,90
3,Species,5,0.00894912408109608,0.024456179285493023,0.033405303366589104,90
3,Species,6,0.008415170209370843,0.024456179285493023,0.032871349494863866,90
3,Species,7,0.010767655386295458,0.024456179285493023,0.03522383467178848,90
3,Species,8,0.01048678289919779,0.024456179285493023,0.03494296218469081,90
3,Species,9,0.010567353513137086,0.024456179285493023,0.03502353279863011,90
3,AA requirements,0,-1.8877190540521338e-05,0.024456179285493023,0.024437302094952502,90
3,AA requirements,1,-0.0005968648458452401,0.024456179285493023,0.023859314439647783,90
3,AA requirements,2,-3.2724776220183216e-05,0.024456179285493023,0.02442345450927284,90
3,AA requirements,3,0.0010220251989878741,0.024456179285493023,0.025478204484480897,90
3,AA requirements,4,0.0013910215786205743,0.024456179285493023,0.025847200864113597,90
3,AA requirements,5,-0.0005709275580104631,0.024456179285493023,0.02388525172748256,90
3,AA requirements,6,-0.0006367350300816449,0.024456179285493023,0.023819444255411378,90
3,AA requirements,7,0.0004783429870453895,0.024456179285493023,0.024934522272538413,90
3,AA requirements,8,0.0018726607943862564,0.024456179285493023,0.02632884007987928,90
3,AA requirements,9,-0.0006002848879896917,0.024456179285493023,0.02385589439750333,90
4,Auxotroph type,0,0.006241429118357032,0.02721988158730925,0.03346131070566628,91
4,Auxotroph type,1,0.01238181092186219,0.02721988158730925,0.03960169250917144,91
4,Auxotroph type,2,0.004842346265994384,0.02721988158730925,0.032062227853303635,91
4,Auxotroph type,3,0.007065257635786665,0.02721988158730925,0.034285139223095916,91
4,Auxotroph type,4,0.004841251627085839,0.02721988158730925,0.03206113321439509,91
4,Auxotroph type,5,0.005075504277531097,0.02721988158730925,0.03229538586484035,91
4,Auxotroph type,6,0.0016472432438868652,0.02721988158730925,0.028867124831196116,91
4,Auxotroph type,7,0.004558630605809508,0.02721988158730925,0.03177851219311876,91
4,Auxotroph type,8,0.00408040392372367,0.02721988158730925,0.03130028551103292,91
4,Auxotroph type,9,0.0070148963492990615,0.02721988158730925,0.03423477793660831,91
4,Prototroph growth,0,-0.001454628658695556,0.02721988158730925,0.025765252928613695,91
4,Prototroph growth,1,-0.0019212313309151137,0.02721988158730925,0.025298650256394137,91
4,Prototroph growth,2,-0.000916068213478817,0.02721988158730925,0.026303813373830434,91
