name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT078	L-Asparagine (N)	6/19/2014 Keio_ML9_set1	78	1573304	0	1069807	1060738	188	618.5	290.931980252331	0.301570067534734	0.163000655264799	0.645716531800253	0.645434697320285	0.237313019503663	0.0344032579515311	-0.0842622761444517	1.26730650698732	TRUE
set1IT079	L-Glutamine (N)	6/19/2014 Keio_ML9_set1	79	1735403	0	1179495	1169573	207	618.5	320.782501371366	0.303968977402512	0.151178242865231	0.658963082164933	0.645434697320285	0.230317537818489	0.0259194490525386	-0.0800161352205911	0.971302904908468	TRUE
set1IT080	L-Glutamine (N)	6/19/2014 Keio_ML9_set1	80	1650124	0	1121794	1112116	196.5	618.5	305.023587493143	0.270376635484784	0.153764320414847	0.648288436089985	0.645434697320285	0.200243662671138	0.0361887611650572	-0.0864113786206416	0.970702108167528	TRUE
set1IT081	Glycine (N)	6/19/2014 Keio_ML9_set1	81	1389586	0	943705	935474	166	618.5	256.575425123423	0.341322616341842	0.17537346006772	0.653549585978569	0.645434697320285	0.193871108860193	0.00258541603730648	-0.0811510818778888	2.44910656537057	TRUE
set1IT082	Glycine (N)	6/19/2014 Keio_ML9_set1	82	1500268	0	1018866	1009898	178	618.5	276.987931980252	0.316646479038442	0.183456155784828	0.658211482751795	0.645434697320285	0.244296965629206	0.0586362739475944	-0.0812766263986705	2.18976242914482	TRUE
set1IT083	L-Alanine (N)	6/19/2014 Keio_ML9_set1	83	1519989	0	1034469	1025560	182	618.5	281.28359846407	0.338604377185342	0.151349206523354	0.669851398307669	0.645434697320285	0.229379304930674	0.0205279700527356	-0.0770754956778528	1.71785147168227	TRUE
set1IT084	L-Alanine (N)	6/19/2014 Keio_ML9_set1	84	1648310	0	1121235	1111532	197	618.5	304.86341195831	0.313898935812061	0.163655788779489	0.667424660913129	0.645434697320285	0.182154441132602	0.0145044372851181	-0.0654825688538008	1.47605675954705	TRUE
set1IT085	D-Serine (N)	6/19/2014 Keio_ML9_set1	85	1488910	0	1014016	1004999	177.5	618.5	275.64426769062	0.326984028459444	0.167441508908793	0.666756591884803	0.645434697320285	0.252001779915927	-0.00428545988611987	-0.081332701335302	2.51633691974216	TRUE
set1IT086	D-Serine (N)	6/19/2014 Keio_ML9_set1	86	1535298	0	1045412	1035987	182.5	618.5	284.143444871092	0.338546143098952	0.164191003736119	0.660513533728333	0.645434697320285	0.209159070005814	0.0405479030379814	-0.0824099033425146	2.59886823894299	TRUE
set1IT087	D-Alanine (N)	6/19/2014 Keio_ML9_set1	87	1521199	0	1034089	1025450	181	618.5	281.253428414701	0.317061150292735	0.156803927910865	0.652076696579694	0.645434697320285	0.223575409508094	0.0376697508440596	-0.0805137364473262	1.44206022683909	TRUE
set1IT088	D-Alanine (N)	6/19/2014 Keio_ML9_set1	88	1385932	0	941948	934205	164	618.5	256.227372462973	0.339297816362384	0.160458299506483	0.667923949736555	0.645434697320285	0.274953565963671	0.0822311531142506	-0.0935387074089557	1.46151800700692	TRUE
set1IT089	Gly-DL-Asp (N)	6/19/2014 Keio_ML9_set1	89	1284669	0	872559	865354	149	618.5	237.343390016456	0.35479462221133	0.167733629914101	0.655351828612554	0.645434697320285	0.243013056341188	-0.00298235743149883	-0.0864615225814923	2.19746488209723	TRUE
